epoch	lr	loss_train	loss_test	err_test	err_x	err_y	err_z	
1	0.0010	1.4629	0.0550	406.0608	119.1418	255.6385	202.2389	
2	0.0009	0.1979	0.0463	365.3149	107.8979	313.4851	97.1986	
3	0.0009	0.1042	0.0340	318.1390	130.1739	182.9013	145.5859	
4	0.0009	0.0673	0.0186	236.4505	66.8036	105.3422	167.4843	
5	0.0009	0.0622	0.0076	138.4528	64.9867	73.3109	65.6795	
6	0.0009	0.0577	0.0143	205.2110	69.5419	152.1038	77.1699	
7	0.0009	0.0534	0.0150	215.8967	75.1426	153.1229	87.1662	
8	0.0009	0.0459	0.0122	171.3061	76.3517	99.2359	74.8066	
9	0.0009	0.0398	0.0179	209.9893	110.6503	110.2789	91.0341	
10	0.0009	0.0353	0.0618	407.9506	231.6923	199.9456	192.9594	
11	0.0009	0.0292	0.0502	367.1646	190.5689	174.6955	193.5594	
12	0.0009	0.0258	0.0397	326.9706	168.6245	152.9377	168.4942	
13	0.0009	0.0219	0.0304	293.0119	157.6087	140.5767	142.0662	
14	0.0009	0.0181	0.0294	286.3353	139.4487	129.9156	153.9771	
15	0.0009	0.0166	0.0273	274.0127	138.5715	122.9048	155.7034	
16	0.0009	0.0143	0.0267	273.3968	131.8176	132.2487	139.9153	
17	0.0009	0.0134	0.0212	246.7032	123.0438	115.2178	129.5517	
18	0.0009	0.0120	0.0200	239.0086	123.0262	108.0000	122.7847	
19	0.0009	0.0108	0.0212	241.0412	123.0084	114.2654	124.4711	
20	0.0009	0.0096	0.0195	233.1904	120.3764	108.6447	122.2201	
