               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089223,            0.020492,              0.0645,             0.55594,              0.1176,            0.093669,            0.038226,            0.051567,            0.014473,             0.05579,            0.070062,           0.0033265,           0.0033265
                   1,            0.055108,            0.014149,            0.050001,             0.61476,             0.29538,             0.29435,             0.13521,            0.045529,            0.010203,            0.043511,            0.039732,           0.0063301,           0.0063301
                   2,             0.05109,            0.011305,            0.037075,             0.73913,             0.50558,              0.5222,             0.24918,             0.04286,           0.0084246,            0.028996,           0.0090725,           0.0090038,           0.0090038
                   3,            0.047071,           0.0097573,            0.023633,             0.90781,             0.60864,             0.66033,             0.37445,            0.036936,           0.0076725,            0.017678,            0.008515,            0.008515,            0.008515
                   4,             0.04218,            0.008832,            0.016452,             0.91389,             0.64386,              0.6838,             0.39027,            0.036135,           0.0070777,            0.011479,            0.008515,            0.008515,            0.008515
                   5,            0.038984,           0.0084499,            0.012964,             0.91793,             0.64504,             0.73121,             0.44708,            0.032046,           0.0069288,            0.010779,             0.00802,             0.00802,             0.00802
                   6,            0.035575,           0.0079345,             0.01097,             0.83485,             0.73948,             0.79305,             0.49105,            0.029009,           0.0067076,            0.009075,            0.007525,            0.007525,            0.007525
                   7,            0.033588,           0.0077042,           0.0093427,             0.90057,             0.77265,             0.81987,             0.54947,            0.027089,           0.0063821,           0.0070514,             0.00703,             0.00703,             0.00703
                   8,            0.031305,           0.0073836,           0.0083664,             0.95157,              0.7766,             0.83286,             0.56486,             0.02664,           0.0060276,           0.0056657,            0.006535,            0.006535,            0.006535
                   9,            0.030424,           0.0071743,           0.0074308,             0.92769,             0.79118,             0.84137,             0.56931,            0.025686,           0.0059137,           0.0052995,             0.00604,             0.00604,             0.00604
                  10,            0.028622,           0.0070026,           0.0072949,              0.9225,             0.81054,             0.84577,             0.58849,            0.024743,            0.005751,           0.0052566,            0.005545,            0.005545,            0.005545
                  11,            0.027448,           0.0069946,             0.00618,             0.91885,             0.79561,             0.88166,             0.60557,            0.023595,           0.0057494,           0.0049736,             0.00505,             0.00505,             0.00505
                  12,            0.025929,           0.0067359,           0.0055551,             0.90963,             0.87689,             0.90296,             0.65391,            0.021998,           0.0055586,           0.0038901,            0.004555,            0.004555,            0.004555
                  13,            0.024744,           0.0065669,           0.0049987,             0.92884,             0.87734,             0.90503,             0.66326,             0.02095,           0.0053386,           0.0033435,             0.00406,             0.00406,             0.00406
                  14,             0.02342,           0.0062471,           0.0044956,             0.93674,             0.86242,             0.90179,             0.66672,            0.019422,            0.005227,           0.0032011,            0.003565,            0.003565,            0.003565
                  15,            0.022544,           0.0060089,           0.0040679,             0.94802,             0.87522,             0.90914,             0.67956,             0.01869,           0.0051655,           0.0030396,             0.00307,             0.00307,             0.00307
                  16,            0.021347,            0.006096,           0.0039219,             0.95431,             0.86722,             0.91399,                0.69,            0.018574,           0.0051018,           0.0025982,            0.002575,            0.002575,            0.002575
                  17,            0.020373,           0.0058899,           0.0035944,             0.94761,             0.87315,             0.91094,             0.68888,            0.017409,           0.0049855,           0.0022466,             0.00208,             0.00208,             0.00208
                  18,             0.01925,           0.0058479,            0.003231,             0.94901,             0.87321,             0.91447,             0.70944,            0.016563,           0.0048547,           0.0019775,            0.001585,            0.001585,            0.001585
                  19,            0.018263,           0.0056238,           0.0029195,             0.95885,             0.86088,             0.91225,             0.70635,            0.015895,              0.0048,           0.0019355,             0.00109,             0.00109,             0.00109
